Hero,Role,Pick_rate,Win_rate,Tie_Rate,On_fire,Platform,Rank
Reinhardt,T,11.59,51.01,2.43,7.83,PC,All
Ana,S,10.34,49.4,2.18,10.28,PC,All
Zarya,T,6.75,50.24,2.22,9.7,PC,All
Moira,S,6.39,50.38,2.36,9.31,PC,All
Lucio,S,6.09,50.81,2.03,10.83,PC,All
Zenyatta,S,5.13,52.43,2.21,7.12,PC,All
Mercy,S,5.05,49.96,2.48,1.83,PC,All
D.Va,T,4.87,49.8,2.25,6.33,PC,All
Genji,O,4.26,49.93,1.8,10.93,PC,All
McCree,O,3.96,47.11,1.71,10.12,PC,All
Hanzo,O,3.25,48.64,2.04,12.65,PC,All
Reaper,O,2.84,51.06,1.93,16.02,PC,All
Roadhog,T,2.78,50.11,1.75,8.96,PC,All
Winston,T,2.67,48.28,1.86,5.6,PC,All
Widowmaker,O,2.64,48.99,1.64,8.47,PC,All
Ashe,O,2.58,52.32,2.03,9.45,PC,All
"Wrecking Ball",T,2.33,51.39,1.96,2.74,PC,All
Brigitte,S,2.12,53.8,1.98,12.42,PC,All
Junkrat,O,2.01,50.39,2.4,10.76,PC,All
Orisa,T,1.84,53.51,2.02,7.98,PC,All
Pharah,O,1.61,50.8,1.76,11.75,PC,All
Tracer,O,1.59,47.31,1.67,6.95,PC,All
"Soldier: 76",O,1.57,50.09,1.92,9.64,PC,All
Sombra,O,1.26,46.84,2.16,13.68,PC,All
Mei,O,1.14,51.44,2.22,9.08,PC,All
Torbjorn,O,1,57.12,2.68,8.84,PC,All
Doomfist,O,0.95,52.31,1.66,7.38,PC,All
Symmetra,S,0.87,56.37,2.69,8.09,PC,All
Bastion,O,0.51,48.82,2.58,15.38,PC,All
Reinhardt,T,9.88,47.64,2.26,8.09,PC,Bronze
Moira,S,9.14,47.95,2.62,8.32,PC,Bronze
Mercy,S,7.59,45.55,2.51,1.31,PC,Bronze
D.Va,T,7.42,46.38,2.06,6.16,PC,Bronze
Lucio,S,5.88,47.23,2.08,9.36,PC,Bronze
Ana,S,5.66,44.23,2.33,7.15,PC,Bronze
Orisa,T,4.09,50.5,2.37,6.55,PC,Bronze
Junkrat,O,4.05,45.58,2.23,11.67,PC,Bronze
Reaper,O,3.88,49.25,1.68,16.83,PC,Bronze
Zenyatta,S,3.47,49.17,2.42,7.52,PC,Bronze
Zarya,T,3.41,46.7,1.68,5.79,PC,Bronze
Brigitte,S,2.74,52.69,1.84,12.04,PC,Bronze
Roadhog,T,2.59,42.47,2.11,6.38,PC,Bronze
Genji,O,2.49,45.55,1.66,8.84,PC,Bronze
Hanzo,O,2.41,41.77,1.98,10.32,PC,Bronze
McCree,O,2.36,41.62,1.98,10.24,PC,Bronze
"Soldier: 76",O,2.3,43.71,2.08,9.15,PC,Bronze
Torbjorn,O,2.14,52.94,1.99,9.86,PC,Bronze
Pharah,O,2.1,45.05,1.78,8.76,PC,Bronze
Widowmaker,O,2.05,42.16,1.56,7.09,PC,Bronze
Ashe,O,2,45.07,1.59,7.34,PC,Bronze
Winston,T,1.87,43.36,2.06,4.13,PC,Bronze
"Wrecking Ball",T,1.84,43.44,1.81,2.22,PC,Bronze
Symmetra,S,1.75,54.49,2.66,9.51,PC,Bronze
Bastion,O,1.75,46.08,2.2,15.29,PC,Bronze
Mei,O,1.69,45.16,1.5,10.77,PC,Bronze
Sombra,O,1.44,36,1.67,8.78,PC,Bronze
Tracer,O,1.03,35.64,1.42,5.86,PC,Bronze
Doomfist,O,0.98,46.62,1.09,7.29,PC,Bronze
Reinhardt,T,9.88,49.43,2.44,8.11,PC,Silver
Moira,S,8.87,47.9,2.45,8.67,PC,Silver
Ana,S,7.69,45.96,2.4,8.68,PC,Silver
Mercy,S,7.21,47.26,2.64,1.41,PC,Silver
D.Va,T,6.39,48.51,2.48,6.71,PC,Silver
Lucio,S,5.79,49.56,1.95,10.37,PC,Silver
Zarya,T,4.78,47.34,2.43,6.91,PC,Silver
Reaper,O,3.95,48.83,2.06,16.48,PC,Silver
Junkrat,O,3.84,48.31,2.28,11.71,PC,Silver
Zenyatta,S,3.77,49.08,2.56,7.56,PC,Silver
Genji,O,3.01,46.11,1.8,9.92,PC,Silver
Orisa,T,2.86,50.99,2.5,7.5,PC,Silver
Hanzo,O,2.72,45.84,2.13,11.55,PC,Silver
Brigitte,S,2.7,52.78,2.03,12.19,PC,Silver
McCree,O,2.69,44.72,1.79,10.27,PC,Silver
Roadhog,T,2.67,47.05,2.2,7.68,PC,Silver
Pharah,O,2.14,48.84,1.97,10.92,PC,Silver
Winston,T,2.09,45.5,1.85,5.17,PC,Silver
Ashe,O,2.04,47.06,2.61,8.2,PC,Silver
"Wrecking Ball",T,1.92,48.29,2.13,2.29,PC,Silver
"Soldier: 76",O,1.87,46.41,2.13,9.51,PC,Silver
Widowmaker,O,1.64,44.05,1.75,7.32,PC,Silver
Mei,O,1.5,47.66,2.37,10.18,PC,Silver
Torbjorn,O,1.38,54,2.7,9.2,PC,Silver
Symmetra,S,1.16,54.09,2.68,8.85,PC,Silver
Tracer,O,1.04,42.54,1.77,6.81,PC,Silver
Bastion,O,0.93,46.15,3.03,14.49,PC,Silver
Sombra,O,0.92,40.76,2.57,10.74,PC,Silver
Doomfist,O,0.67,47.01,1.94,7.59,PC,Silver
Reinhardt,T,11.75,49.43,2.57,7.98,PC,Gold
Ana,S,9.44,47.52,2.24,9.57,PC,Gold
Moira,S,7.96,49.63,2.46,9.09,PC,Gold
Zarya,T,6.08,48.54,2.34,8.27,PC,Gold
Mercy,S,5.99,49.4,2.56,1.7,PC,Gold
D.Va,T,5.39,49.69,2.31,6.53,PC,Gold
Lucio,S,5.32,50.41,1.92,10.63,PC,Gold
Zenyatta,S,4.44,51.76,2.26,7.2,PC,Gold
McCree,O,3.76,45.97,1.77,9.9,PC,Gold
Genji,O,3.71,48.22,1.91,10.46,PC,Gold
Reaper,O,3.6,50.46,2.01,16.37,PC,Gold
Hanzo,O,2.94,47,2.16,12,PC,Gold
Roadhog,T,2.81,48.62,1.81,8.47,PC,Gold
Junkrat,O,2.65,50.29,2.52,10.82,PC,Gold
Ashe,O,2.54,51.07,2.1,8.89,PC,Gold
Brigitte,S,2.33,54.24,2.04,12.7,PC,Gold
Winston,T,2.18,46.66,1.72,5.32,PC,Gold
Widowmaker,O,2.08,46.88,1.55,7.79,PC,Gold
"Wrecking Ball",T,2.06,50.15,2.09,2.49,PC,Gold
Pharah,O,2.04,51.07,1.87,11.68,PC,Gold
Orisa,T,1.97,53.22,1.94,8.16,PC,Gold
"Soldier: 76",O,1.64,48.71,1.91,9.49,PC,Gold
Mei,O,1.28,50.9,2.23,9.29,PC,Gold
Tracer,O,1.14,44.79,1.73,6.61,PC,Gold
Sombra,O,1.06,44.15,2.39,13.27,PC,Gold
Torbjorn,O,0.96,57.42,2.92,8.85,PC,Gold
Symmetra,S,0.95,56.75,3,8.7,PC,Gold
Doomfist,O,0.86,49.72,1.61,7.47,PC,Gold
Bastion,O,0.55,48.53,2.88,15.33,PC,Gold
Reinhardt,T,11.76,51.71,2.45,7.78,PC,Platinum
Ana,S,11.17,50.18,2.2,10.72,PC,Platinum
Zarya,T,7.5,50.8,2.29,10.02,PC,Platinum
Moira,S,6,52.01,2.3,9.8,PC,Platinum
Lucio,S,5.64,51.14,2.1,11.01,PC,Platinum
Zenyatta,S,5.53,52.79,2.24,7.12,PC,Platinum
Genji,O,4.81,50.4,1.89,11.34,PC,Platinum
McCree,O,4.7,47.52,1.71,10.33,PC,Platinum
Mercy,S,4.43,51.34,2.41,2.07,PC,Platinum
D.Va,T,4.03,50.86,2.22,6.53,PC,Platinum
Hanzo,O,3.6,49.35,2.13,13.18,PC,Platinum
Roadhog,T,3.02,51.34,1.69,9.73,PC,Platinum
Ashe,O,2.87,53.26,2.05,9.9,PC,Platinum
Widowmaker,O,2.83,49.42,1.74,8.77,PC,Platinum
Reaper,O,2.76,52.68,1.86,15.81,PC,Platinum
Winston,T,2.58,48.32,1.83,5.88,PC,Platinum
"Wrecking Ball",T,2.36,52.08,2.04,2.93,PC,Platinum
Brigitte,S,1.79,54.39,1.92,12.39,PC,Platinum
Tracer,O,1.63,46.88,1.55,6.95,PC,Platinum
Pharah,O,1.51,52.2,1.7,12.68,PC,Platinum
"Soldier: 76",O,1.42,51.26,1.77,9.75,PC,Platinum
Junkrat,O,1.42,52.93,2.49,10.15,PC,Platinum
Orisa,T,1.41,54.89,1.85,8.36,PC,Platinum
Sombra,O,1.26,48.08,2.03,14.31,PC,Platinum
Mei,O,1.01,52.95,2.1,8.9,PC,Platinum
Doomfist,O,0.97,53.43,1.62,7.41,PC,Platinum
Torbjorn,O,0.87,59.33,2.81,9.02,PC,Platinum
Symmetra,S,0.78,57.76,2.4,7.71,PC,Platinum
Bastion,O,0.36,52.91,2.35,16.4,PC,Platinum
Ana,S,12.71,51.86,2.11,10.96,PC,Diamond
Reinhardt,T,11.04,52.65,2.32,7.26,PC,Diamond
Zarya,T,8.3,52.45,2.1,11.02,PC,Diamond
Lucio,S,6.8,51.83,2.02,10.63,PC,Diamond
Zenyatta,S,6.38,53.96,1.88,6.43,PC,Diamond
Genji,O,5.75,52.43,1.64,11.41,PC,Diamond
