Hero,Role,Pick_rate,Win_rate,Tie_Rate,On_fire,Platform,Rank,Date
Reinhardt,TANK,11.59,51.01,2.43,7.83,PC,All,42:19.9
Ana,SUPPORT,10.34,49.4,2.18,10.28,PC,All,42:19.9
Zarya,TANK,6.75,50.24,2.22,9.7,PC,All,42:19.9
Moira,SUPPORT,6.39,50.38,2.36,9.31,PC,All,42:19.9
Lucio,SUPPORT,6.09,50.81,2.03,10.83,PC,All,42:19.9
Zenyatta,SUPPORT,5.13,52.43,2.21,7.12,PC,All,42:19.9
Mercy,SUPPORT,5.05,49.96,2.48,1.83,PC,All,42:19.9
D.Va,TANK,4.87,49.8,2.25,6.33,PC,All,42:19.9
Genji,OFFENSE,4.26,49.93,1.8,10.93,PC,All,42:19.9
McCree,OFFENSE,3.96,47.11,1.71,10.12,PC,All,42:19.9
Hanzo,DEFENSE,3.25,48.64,2.04,12.65,PC,All,42:19.9
Reaper,OFFENSE,2.84,51.06,1.93,16.02,PC,All,42:19.9
Roadhog,TANK,2.78,50.11,1.75,8.96,PC,All,42:19.9
Winston,TANK,2.67,48.28,1.86,5.6,PC,All,42:19.9
Widowmaker,DEFENSE,2.64,48.99,1.64,8.47,PC,All,42:19.9
Ashe,OFFENSE,2.58,52.32,2.03,9.45,PC,All,42:19.9
Wrecking Ball,TANK,2.33,51.39,1.96,2.74,PC,All,42:19.9
Brigitte,SUPPORT,2.12,53.8,1.98,12.42,PC,All,42:19.9
Junkrat,DEFENSE,2.01,50.39,2.4,10.76,PC,All,42:19.9
Orisa,TANK,1.84,53.51,2.02,7.98,PC,All,42:19.9
Pharah,OFFENSE,1.61,50.8,1.76,11.75,PC,All,42:19.9
Tracer,OFFENSE,1.59,47.31,1.67,6.95,PC,All,42:19.9
Soldier: 76,OFFENSE,1.57,50.09,1.92,9.64,PC,All,42:19.9
Sombra,OFFENSE,1.26,46.84,2.16,13.68,PC,All,42:19.9
Mei,DEFENSE,1.14,51.44,2.22,9.08,PC,All,42:19.9
Torbjorn,DEFENSE,1,57.12,2.68,8.84,PC,All,42:19.9
Doomfist,OFFENSE,0.95,52.31,1.66,7.38,PC,All,42:19.9
Symmetra,SUPPORT,0.87,56.37,2.69,8.09,PC,All,42:19.9
Bastion,DEFENSE,0.51,48.82,2.58,15.38,PC,All,42:19.9
Reinhardt,TANK,9.88,47.64,2.26,8.09,PC,Bronze,42:19.9
Moira,SUPPORT,9.14,47.95,2.62,8.32,PC,Bronze,42:19.9
Mercy,SUPPORT,7.59,45.55,2.51,1.31,PC,Bronze,42:19.9
D.Va,TANK,7.42,46.38,2.06,6.16,PC,Bronze,42:19.9
Lucio,SUPPORT,5.88,47.23,2.08,9.36,PC,Bronze,42:19.9
Ana,SUPPORT,5.66,44.23,2.33,7.15,PC,Bronze,42:19.9
Orisa,TANK,4.09,50.5,2.37,6.55,PC,Bronze,42:19.9
Junkrat,DEFENSE,4.05,45.58,2.23,11.67,PC,Bronze,42:19.9
Reaper,OFFENSE,3.88,49.25,1.68,16.83,PC,Bronze,42:19.9
Zenyatta,SUPPORT,3.47,49.17,2.42,7.52,PC,Bronze,42:19.9
Zarya,TANK,3.41,46.7,1.68,5.79,PC,Bronze,42:19.9
Brigitte,SUPPORT,2.74,52.69,1.84,12.04,PC,Bronze,42:19.9
Roadhog,TANK,2.59,42.47,2.11,6.38,PC,Bronze,42:19.9
Genji,OFFENSE,2.49,45.55,1.66,8.84,PC,Bronze,42:19.9
Hanzo,DEFENSE,2.41,41.77,1.98,10.32,PC,Bronze,42:19.9
McCree,OFFENSE,2.36,41.62,1.98,10.24,PC,Bronze,42:19.9
Soldier: 76,OFFENSE,2.3,43.71,2.08,9.15,PC,Bronze,42:19.9
